Stoller Wholesale,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,"Product Location Report  WAREHOUSE
All Items Sorted by Item Number",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"QOH
Case/Bot",,
Item Nmbr,,Item Description,,,,Size,,BPC,,FF,,WH1,,WH2,,WH3,,BOT,,,QOO
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
308001140,,ABUNDANCE BIEN NACIDO PINOT NOIR 01,,,,750M,,12,,,,,,,,,,,0 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
199001041,,ACDC CABERNET SAUVIGNON (D),,,,750M,,6,,,,,,,,,,,0 / 1,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
199001241,,ACDC CHARDONNAY (D),,,,750M,,6,,,,40-34-3,,,,,,,31 / 3,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
199001541,,ACDC SAUVIGNON BLANC (D),,,,750M,,6,,06-45-4,,40-46-4,,,,,,,37 / 1,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
294003040,,ADAM KAEFFERKOPF RIESLING 99,,,,750M,,12,,,,,,,,,,,0 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
506000240,,ADRIANO MARCO E VITTORIO BABARESCO,,,,750ML,,12,,,,44-46-1,,,,,,,4 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
338003040,,ADVOSCOTCH ORIGINAL 34PF,,,,750M,,12,,,,,,,,,,,0 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
81001040,,AFFENTALER SPAETBURG. MONKEY,,,,750M,,12,,05-11-2,,,,,,,,,8 / 11,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
506000540,,AFFRESHI PINOT GRIGIO 2011,,,,750M,,12,,04-24-2,,04-24-3,,,,,,11-26-4,18 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
216010041,,AGAVE LOCO 100% AGAVE PEPP CURE REPO,,,,750M,,6,,05-19-1,,05-19-6,,,,,,11-35-3,24 / 2,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
176003741,,AGAVE LOCO MARGARITA COPAK,,,,750M,,6,,,,,,,,,,,0 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
561001041,,AGAVE UNDERGROUND ANEJO,,,,750ML,,6,,,,43-23-2,,45-17-1,,,,13-66-4,19 / 2,,0.00
,,,,,,,,,,,,,,,,,,,,,
561001541,,AGAVE UNDERGROUND REPOSADO,,,,750ML,,6,,,,43-08-4,,45-17-1,,,,13-03-1,15 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
561002541,,AGAVE UNDERGROUND SILVER,,,,750ML,,6,,,,42-05-2,,,,,,15-07-1,8 / 3,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
506000640,,AGUA DE PIEDRA MALBEC GRAN SELECCION,,,,750M,,12,,03-15-2,,43-65-2,,03-15-3,,,,15-60-3,75 / 1,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
506000440,,AGUA DE PIEDRA MALBEC SELECCION,,,,750M,,12,,03-24-1,,40-53-2,,03-24-3,,,,13-56-3,126 / 1,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
506000840,,AGUA DE PIEDRA MOSCATO,,,,750M,,12,,,,46-47-3,,,,,,,4 / 8,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
184010040,,AGUARDIENTE ANTIOGUENO,,,,750M,,12,,05-26-1,,45-32-2,,44-01-5,,45-48-4,,15-79-2,85 / 11,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
184010240,,AGUARDIENTE ANTIOGUENO SUGARFREE,,,,750M,,12,,08-18-2,,42-53-2,,39-41-4,,,,12-29-4,101 / 9,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
295020020,,AGUARDIENTE ANTIOQUENO SIN AZUCAR SUGARFREE,,,,1.75,,6,,,,,,,,,,,0 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
295000240,,AGUARDIENTE BLANCO,,,,750M,,12,,,,39-47-4,,,,,,,-1 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
295020040,,AGUARDIENTE BLANCO SIN AZUCAR,,,,750M,,12,,,,41-22-2,,39-47-4,,45-16-4,,,21 / 4,,0.00
